12400,181,625,2320,21800,1600,17100,3690,1680,2010,1390,2250,84,56,9490,71,143,4000,1930,699,543,140,123,20300,73,4410,11000,35100,9400,2090,313,1550,9110,1200,89,1680,818,6990,2000,4790,104,704,519,1780,31700,8,510,80,17600,9660,1750,1050,69,2550,819,47,3060,2990,8540,691,20100,8100,9360,14500,6680,10300,6150,2350,15700,5170,1150,2010,1470,74,135,2590,92,561,1100,124,132,834,141,106,4380,2090,113,83,12400,718,155,167,945,146,1010,2210,7530,2590,1010,3340,2450,1410,568,11200,2220,73,5060,2330,2310,2310,7570,2050,1870,80,4440,16300,711,1900,568,2340,145,5680,638,714,2140,7490,3770,126,5750,1930,2090,2140,2570,2090,3860,76,596,3490,555,143,2990,103,894,6520,1300,33930,87717,4760,676,13900,4680,1867,1210,161,2660
11100,662,654,2100,23600,969,21100,4450,849,1800,1970,2210,138,62,6060,79,149,5250,2270,974,192,696,536,22300,80,4090,10800,37000,9970,2520,417,1370,6160,1230,267,1950,161,7170,1850,6850,105,1160,169,1620,33900,4,504,109,11900,11900,1700,1390,49,2960,1250,46,569,3000,9630,1780,24500,11400,8040,14800,7110,8500,6620,1560,19900,6040,2210,2560,1410,83,186,2320,111,180,913,546,171,794,587,655,4250,3190,93,114,11900,502,155,636,881,797,881,2260,8340,2140,671,2920,2430,2010,735,9290,2220,522,4810,2470,2340,2080,7870,2280,2430,344,4900,14400,1560,2320,601,2130,166,5520,832,755,2090,7570,5120,529,6040,2630,1600,3280,2680,2560,4330,72,725,3210,549,143,3090,108,1320,6210,1605,35135,83045,5350,702,10500,5310,1743,629,583,2360
12400,143,770,1880,23400,1100,23200,3030,976,2100,893,1380,87,87,4930,59,541,5400,1810,861,510,151,559,20600,106,3340,9520,35300,9450,2880,357,794,7480,1530,724,1620,145,6120,2390,5270,82,683,521,1440,31000,10,139,62,11900,10400,1380,1140,70,2010,1550,51,1160,3100,8650,1350,31700,13600,8970,15100,7170,11500,5650,1500,15600,6590,859,4010,1440,58,160,2180,73,193,791,767,442,161,1320,186,4000,2730,80,106,11600,103,546,202,917,172,764,1710,10400,3020,566,3580,2030,1360,902,11000,2080,115,2840,4500,2730,3010,7820,2040,2800,765,3600,12900,2400,3090,592,1790,118,5070,197,189,3960,9690,3960,159,5420,2370,1380,2110,1880,2160,4220,62,679,4860,154,148,5730,101,1340,5100,1590,34315,76592,4080,146,10400,5540,2273,1210,136,2590
10900,139,1320,1520,17000,773,18700,2980,928,2700,744,1640,76,47,4500,52,849,3420,1420,617,158,147,124,16700,99,2810,8130,30700,7430,1900,398,789,7170,1320,290,1360,165,5790,3690,5570,112,758,609,1440,28400,15,136,66,8540,8210,2160,1910,77,1830,1910,61,209,2180,6920,801,31200,11900,7620,12000,5900,20500,4860,1240,15200,6090,931,2230,1930,62,571,2670,56,203,940,525,131,190,901,174,3930,2570,139,88,9240,140,159,543,961,172,795,1730,8890,2120,630,2850,1870,1500,1050,14400,2040,83,2950,1910,2640,2690,6500,1810,2110,388,3970,11600,1240,2550,647,1460,165,5020,680,593,3430,8040,3380,154,4100,2550,1520,2350,2170,2150,3720,75,721,4880,182,151,3350,102,1150,6170,1260,31615,62210,3700,143,8780,3760,7325,964,156,4430
13000,162,567,2060,18100,845,21400,3520,732,2290,927,1310,92,45,5120,46,125,3760,2140,941,125,588,134,17100,80,2070,9100,33200,10400,2530,478,978,7690,1760,80,1040,911,6380,3390,5880,84,713,652,1420,32500,16,137,73,7630,9320,1360,1350,81,2010,892,45,192,2990,5250,987,22700,12200,9730,9380,6940,17300,7130,1770,15900,6090,859,2100,1230,978,171,2240,46,143,763,564,104,157,1490,117,4350,2860,96,118,9950,119,689,134,1070,140,539,2010,7640,2040,687,2770,2680,1720,627,11400,2000,86,3290,2570,2420,2320,7590,2360,2580,85,4750,10800,1160,1730,860,1880,158,3790,648,793,1740,7750,4290,119,5810,4760,1550,2440,2810,1980,3450,106,840,3130,167,156,2650,92,675,5660,1655,34115,71377,4050,720,11600,2800,5520,711,127,2970
14700,649,610,4440,22900,910,22100,5430,781,2300,1170,1690,141,61,7210,61,615,4360,2560,1480,190,139,816,19800,84,2480,13800,41400,11300,4100,611,890,8460,1960,85,1670,1070,8070,3010,8560,142,746,173,1560,37100,7,504,110,8360,10800,1550,1620,65,2580,1510,678,204,3910,7550,1620,26500,13200,11400,8960,9070,15300,7080,1470,17600,6450,1080,1930,1700,108,168,2390,73,545,917,742,414,693,2700,1680,5260,2970,135,90,12600,162,573,586,631,179,791,2990,8820,2510,749,3100,2850,1920,765,14100,2390,92,5240,3570,2740,2650,9900,4120,4200,94,5920,11500,891,2370,857,3220,128,4070,1450,981,1840,9220,5360,626,5740,5100,4260,2480,2930,2100,4130,634,752,2950,661,155,3140,119,1220,7270,1497,37310,82142,6250,599,14100,3320,4187,844,201,2550
13200,872,503,2060,21900,1580,20000,3920,1240,1480,1110,1420,100,49,7970,44,132,4170,2110,1220,135,559,135,21600,70,3730,12300,44800,9630,5070,602,910,13300,1710,70,1470,147,7640,2770,6730,121,657,558,1350,35900,10,116,57,8830,11300,1320,1410,72,2850,960,54,691,3960,7340,1030,22000,15100,11000,9100,6630,15400,7210,1930,17300,5990,1100,3600,936,87,188,2120,54,200,721,534,158,631,826,1450,7290,2600,92,76,24700,126,207,176,670,170,692,2270,8710,3330,742,3340,4480,1430,634,11800,2130,113,5310,4000,3310,2300,8840,2270,3950,78,4950,12400,1010,1850,670,1860,111,4010,845,635,5680,9160,5360,140,8640,5680,1590,1990,3010,1740,3780,68,582,4580,891,130,4680,114,1140,6650,1605,36055,82387,5710,165,12200,3210,2411,816,183,1370
12400,211,181,2170,20400,1310,19300,5010,1300,2010,1380,1830,119,45,5740,75,159,4140,2200,878,141,143,149,21400,58,3360,11700,41800,10200,5800,522,834,9650,1410,65,1750,127,7570,3230,8910,177,851,516,1350,38100,19,154,67,7620,10800,1520,1750,76,4190,868,56,693,4080,9920,1090,22400,15900,10300,9230,7530,17500,8070,1370,15800,7830,1590,1990,1530,81,738,2370,90,187,865,590,133,168,756,607,5710,2520,105,109,20200,145,531,158,1860,166,1730,2090,8180,2360,1070,3950,4350,1740,638,12800,2830,96,3850,3280,3040,2150,10800,2360,2060,73,4810,11300,827,2160,972,3050,138,5160,760,610,2560,8630,5580,122,6770,8250,1640,2390,2600,2140,3740,74,654,2780,554,152,3170,140,786,5870,1699,37350,74422,5510,506,10900,4050,3450,775,147,1630
11500,892,608,2600,25300,831,21000,3880,995,2000,1580,1860,173,53,7570,51,150,9470,2650,1060,159,514,668,19400,82,2730,12800,42600,10400,6970,129,980,9980,1390,65,1710,145,9290,4650,9070,106,890,596,1550,58300,13,1600,101,6170,11000,1790,1970,74,3490,1150,78,545,12400,7140,1120,23700,18500,25900,10200,8410,15600,9620,1560,15800,6270,2060,2170,1190,573,545,2940,88,177,784,599,444,575,876,1150,6690,3060,129,127,11200,166,194,577,1420,523,847,2730,8660,5420,1730,4960,4770,1240,873,11600,2110,93,4960,3800,2980,2270,11000,2500,3230,80,5080,12100,892,2970,1870,2700,144,4840,965,811,1980,12300,5140,132,7940,3640,1580,3420,2500,2200,3830,100,737,3460,901,177,2950,120,898,5690,1666,39610,77845,6410,976,13900,3210,3217,1960,156,1860
14300,603,672,3520,25000,1250,22800,4390,1140,2260,1050,1540,139,79,6140,55,185,5700,3130,1120,148,150,755,18800,90,2580,11000,44500,11200,11000,608,1200,7920,1450,96,1420,188,9160,3460,8310,94,644,533,1280,43800,22,651,70,6760,10900,3540,1530,56,3480,1420,82,974,23000,6690,1700,25200,19600,14300,8740,7150,12400,9870,2120,15800,5050,1430,2490,1240,619,622,2050,58,948,990,641,318,555,631,175,6420,2880,141,110,11000,530,197,169,1670,596,1140,2140,7950,7860,1790,5380,3740,1430,555,10500,2960,106,5090,3080,3370,1980,10000,2610,2060,114,5070,13000,981,1840,1060,2350,616,4990,515,910,1920,9720,4940,567,6860,2700,1890,2860,2580,1800,3340,99,781,3560,850,169,2970,550,1270,5950,1130,41180,72180,5090,197,13900,4100,2426,1200,161,1690
